head	head_label	head_source	relation	tail	tail_label	tail_source	confidence	sentence	seen_count	doc_id	doc_label
ചിത്രകീടം	PEST	regex	affects	പയർ	CROP	dict	0.85	മുഞ്ഞ, ചാഴി, കായ് തുരപ്പൻ, ചിത്രകീടം, പയർ വണ്ട് തുടങ്ങിയ കീടങ്ങൾ അമരയെയും ആക്രമിക്കാറുണ്ട്	2	188	CROPS
ചിത്രകീടം	PEST	regex	affects	അമര	CROP	dict	0.85	മുഞ്ഞ, ചാഴി, കായ് തുരപ്പൻ, ചിത്രകീടം, പയർ വണ്ട് തുടങ്ങിയ കീടങ്ങൾ അമരയെയും ആക്രമിക്കാറുണ്ട്	2	188	CROPS
മഞ്ഞളിപ്പ്	DISEASE	dict	affects	തിന	CROP	dict	0.85	സിംബിഡിൻ, ഏലയ്ക്കാനീം പോലുള്ള വേപ്പധിഷ്ഠിത കീടനാശിനികളോ മറ്റ് ജൈവകീടനാശിനികളോ മഞ്ഞളിപ്പ് രോഗത്തിനെതിരെ ഉപയോഗിക്കാം	4	206	CROPS
വാഴ	CROP	dict	affects	ഇലതീനി	PEST	dict	0.85	"""വാഴ കൃഷിയെ ഗുരുതരമായി ബാധിക്കുന്ന പ്രധാന കീടമാണ് ഇലതീനി പുഴുക്കൾ"	1	232	DISEASES
കമ്പിളിപ്പുഴു	PEST	dict	affects	വാഴ	CROP	dict	0.85	പട്ടാളപ്പുഴു, കമ്പിളിപ്പുഴു, ഇലചുരുട്ടിപ്പുഴു എന്നിവയുൾപ്പെടെ ഏകദേശം ആറോളം ഇലതീനിപ്പുഴുക്കൾ വാഴകളെ ആക്രമിക്കാറുണ്ട്	1	232	DISEASES
ഇലതീനി	PEST	dict	affects	വാഴ	CROP	dict	0.85	പട്ടാളപ്പുഴു, കമ്പിളിപ്പുഴു, ഇലചുരുട്ടിപ്പുഴു എന്നിവയുൾപ്പെടെ ഏകദേശം ആറോളം ഇലതീനിപ്പുഴുക്കൾ വാഴകളെ ആക്രമിക്കാറുണ്ട്	1	232	DISEASES
വരൾച്ച	CONDITION	dict	affects	തിന	CROP	dict	0.85	കാർഷിക വിള ഇൻഷുറൻസ് പദ്ധതി:**\nവരൾച്ച ഉൾപ്പെടെയുള്ള പ്രകൃതിക്ഷോഭങ്ങൾ കാരണം സംഭവിക്കുന്ന കൃഷിനാശത്തിന് നഷ്ടപരിഹാരം നൽകുന്നതിനായി സംസ്ഥാന സർക്കാരിന്റെ കാർഷിക വിള ഇൻഷുറൻസ് പദ്ധതി നിലവിലുണ്ട്	4	339	AGRI_PRACTICES
ദീർഘകാലം	CONDITION	regex	affects	ഇഞ്ചി	CROP	dict	0.85	\n\nദീർഘകാലം കീടബാധയില്ലാതെ സൂക്ഷിക്കാൻ ഇഞ്ചി ബ്ലീച്ച് ചെയ്തും സംരക്ഷിക്കാറുണ്ട്	1	418	CROPS
ഉഷ്ണമേഖലാ	CONDITION	dict	affects	കരിമ്പ്	CROP	dict	0.7	ഉഷ്ണമേഖലാവിളകളിൽ തെങ്ങും കരിമ്പ് ഉൾപ്പെടുന്നു	1	5	CROPS
സൂര്യപ്രകാശം	CONDITION	dict	affects	ഇഞ്ചി	CROP	dict	0.7	സൂര്യപ്രകാശം നന്നായി ലഭിക്കുന്ന ഇടങ്ങളിലാണ് ഇഞ്ചി നന്നായി വിളയുക	1	14	UNKNOWN
ഇങ്ങനെ അഞ്ചോ	DISEASE	ner	affects	തിന	CROP	dict	0.7	ഇങ്ങനെ അഞ്ചോ ആറോ ഗ്രോ ബാഗുകളിൽ കൃഷി ചെയ്താൽ തന്നെ ഒരു കുടുംബത്തിന് ഒരു വർഷത്തേക്കുള്ള ഇഞ്ചി സുഖമായി വിളവെടുക്കാം	1	14	UNKNOWN
ഇങ്ങനെ അഞ്ചോ	DISEASE	ner	affects	ഇഞ്ചി	CROP	dict	0.7	ഇങ്ങനെ അഞ്ചോ ആറോ ഗ്രോ ബാഗുകളിൽ കൃഷി ചെയ്താൽ തന്നെ ഒരു കുടുംബത്തിന് ഒരു വർഷത്തേക്കുള്ള ഇഞ്ചി സുഖമായി വിളവെടുക്കാം	1	14	UNKNOWN
സൂര്യപ്രകാശം	CONDITION	dict	affects	നാരകം	CROP	dict	0.7	ധാരാളം സൂര്യപ്രകാശം ആവശ്യമുള്ള ഒരു ചെടിയാണ് നാരകം	1	15	AGRI_PRACTICES
വാതരോഗം	DISEASE	regex	affects	കാന്താരി	CROP	dict	0.7	വാതരോഗം , അജീർണം, വായുക്ഷോഭം, അമിതവണ്ണം, പല്ലുവേദന, കൊളസ്ട്രോൾ എന്നിവ കുറയ്ക്കാൻ കാന്താരി ഔഷധമായും ഉപയോഗിക്കാറുണ്ട്	1	18	CROPS
വെള്ളീച്ച	PEST	dict	affects	തിന	CROP	dict	0.7	ഇലയുടെ അടിയിൽ കാണുന്ന വെള്ളീച്ചയെ നിയന്ത്രിക്കുന്നതിന് മഞ്ഞക്കെണി അവിടവിടെയായി തൂക്കുക	2	19	AGRI_PRACTICES
ചാഴി	PEST	dict	affects	ചക്ക	CROP	dict	0.7	പയറിലെ ചാഴിയെ അകറ്റാനുള്ള വെളിച്ചക്കെണിയായി പന്തം വൈകുന്നേരം 6 മുതൽ 7 മണി വരെ വയ്ക്കാം	2	19	AGRI_PRACTICES
അധികം ബുദ്ധിമുട്ടില്ലാതെ	DISEASE	ner	affects	കറുവപ്പട്ട	CROP	dict	0.7	അധികം ബുദ്ധിമുട്ടില്ലാതെ നല്ല സാമ്പത്തിക ലാഭം നേടാൻ കറുവപ്പട്ട കൃഷിക്ക് സാധ്യതയുണ്ട്	1	27	CROPS
ചാഴി	PEST	dict	affects	തിന	CROP	dict	0.7	കരിഞ്ചാഴികൾ ഇലകളിലും നടുനാമ്പിലും മുറിവുണ്ടാക്കി നീരൂറ്റിക്കുടിക്കുന്നത് ഇലകൾ കരിയുന്നതിനും നടുനാമ്പ് വാടുന്നതിനും കാരണമാകും	4	28	AGRI_PRACTICES
അങ്കുരണം	DISEASE	ner	affects	തിന	CROP	dict	0.7	അങ്കുരണം എന്നത് മൂലാങ്കുരത്തിന്‍റെ  ബഹിര്‍ഗമനമോ  തൈയുടെ  പ്രത്യക്ഷപ്പെടലമോ ആണ്	1	46	CROPS
ഈർപ്പം	CONDITION	dict	affects	കപ്പ	CROP	dict	0.7	മണ്ണിലെ ഈർപ്പം കുറവാണെങ്കിൽ, സസ്യങ്ങളുടെ ആവശ്യങ്ങൾ പൂർത്തീകരിക്കപ്പെടുന്നില്ല	1	53	AGRI_PRACTICES
തിന	CROP	dict	affects	ഈർപ്പ അളവ്	DISEASE	ner	0.7	ഇതിനിടയിൽ, സസ്യ വളർച്ചയ്ക്ക് അനുയോജ്യമായ ഈർപ്പ അളവ് എന്നറിയപ്പെടുന്ന ഒരു ശ്രേണി ഉണ്ട്	1	53	AGRI_PRACTICES
ഈർപ്പം	CONDITION	dict	affects	തിന	CROP	dict	0.7	ഈ പരിധികൾക്കിടയിൽ മണ്ണിലെ ഈർപ്പം സംഭരിക്കുക എന്നതാണ് ജലസേചനത്തിന്റെ ലക്ഷ്യം	11	53	AGRI_PRACTICES
ഈർപ്പം	CONDITION	dict	affects	കാപ്പി	CROP	dict	0.7	ഈർപ്പം കാപ്പിലറി പ്രവർത്തനത്തിലൂടെ മണ്ണിന്റെ ഉപരിതലത്തിലേക്ക്  മുകളിലേക്ക് നീങ്ങുന്നു	1	54	AGRI_PRACTICES
വളർച്ചാകാലം	CONDITION	regex	affects	തിന	CROP	dict	0.7	വിളകളുടെ വളർച്ചാകാലം മുഴുവൻ ആവശ്യമായ ജലത്തിന്റെ അളവ് നൽകുക എന്നതാണ് ജലസേചനത്തിന്റെ ലക്ഷ്യം, അതേസമയം അധികജലം വേഗത്തിൽ നീക്കം ചെയ്യുക എന്നതാണ് ജലാപവാഹത്തിന്റെ ലക്ഷ്യം	3	55	AGRI_PRACTICES
തിന	CROP	dict	affects	അർത്ഥമാക്കുന്നു (	PEST	ner	0.7	വാർഷിക വിളകളെ കണക്കിലെടുക്കുമ്പോൾ, ഒരു വിളാവ്യവസ്ഥ സാധാരണയായി ഒരു വർഷത്തിനുള്ളിൽ വിളകളുടെ സംയോജനത്തെ അർത്ഥമാക്കുന്നു (Willey et al	1	63	AGRI_PRACTICES
തിന	CROP	dict	affects	ബ്ലാസ്റ്റ്	DISEASE	dict	0.7	ഇതിനായി പാക്കറ്റുകളിലോ പൗച്ചുകളിലോ നിറച്ച പൾപ്പ് ബ്ലാസ്റ്റ് ഫ്രീസർ, ഫ്രീസർ, കോൾഡ് സ്റ്റോറേജ് സംവിധാനങ്ങളിൽ -18°C താപനിലയിൽ സൂക്ഷിച്ചാൽ മതി	1	96	AGRI_PRACTICES
ദീർഘകാലം	CONDITION	regex	affects	ചക്ക	CROP	dict	0.7	"""മുരിങ്ങ ദീർഘകാലം വിളവ് നൽകുന്ന പച്ചക്കറികളിൽ ഒന്നാമനാണ്"	1	97	CROPS
pH	CONDITION	dict	affects	തിന	CROP	dict	0.7	കുമ്മായം ചേർക്കുന്നത് കാൽസ്യം ലഭ്യതയ്ക്കും pH സന്തുലനത്തിനും ആവശ്യമാണ്	1	103	AGRI_PRACTICES
നീർവാർച്ച	CONDITION	dict	affects	കോവൽ	CROP	dict	0.7	മണ്ണിലെ നീർവാർച്ചക്കുറവ്, പോഷകങ്ങളുടെ അഭാവം എന്നിവ കോവൽച്ചെടികളുടെ വളർച്ച മുരടിക്കാൻ സാധ്യതയുണ്ട്	1	104	CROPS
തിന	CROP	dict	affects	അഥവാ ബട്ടർ	DISEASE	ner	0.7	ഉദാഹരണത്തിന്, സറാസീനിയ അഥവാ ട്രംപെറ്റ്, ഡ്രൊസീറ അഥവാ സൺ ഡ്യൂ, ഡൈയോനിയ അഥവാ വീനസ് ഫ്ലൈ ട്രാപ്പ്, പിങ്ക്യുകുല അഥവാ ബട്ടർ വർട്സ് എന്നിവയെല്ലാം നേരിട്ട് വെയിൽ കിട്ടുന്നിടത്തും വളർത്താൻ യോജിച്ചവയാണ്	1	107	CROPS
ക്ഷയരോഗം	DISEASE	regex	affects	ജാതി	CROP	dict	0.7	കഫ-വാത രോഗങ്ങൾ, വയറുവേദന, അതിസാരം, ഛർദ്ദി, ഓക്കാനം, ദാഹം, മുഖക്കുരു, വായുക്ഷോഭം, അരുചി, വായ്നാറ്റം, ത്വഗ്രോഗങ്ങൾ, സന്ധിവാതം, ശ്വാസരോഗങ്ങൾ, കൃമിശല്യം, കഫക്കെട്ടുള്ള ചുമ, ക്ഷയരോഗം, സ്വരഭേദം എന്നിവ ശമിപ്	1	109	CROPS
ജാതി	CROP	dict	affects	അച്ചാറിട്ടോ	PEST	ner	0.7	ജാതിക്കാത്തൊണ്ട് (മാംസളമായ ഭാഗം) അച്ചാറിട്ടോ ചമ്മന്തിയാക്കിയോ ദിവസവും കഴിക്കുന്നത് രക്തത്തിലെ അമിതമായ കൊളസ്ട്രോൾ കുറയ്ക്കാൻ സഹായിക്കും	1	109	CROPS
കുറച്ചുകാലം	CONDITION	regex	affects	കപ്പ	CROP	dict	0.7	\n\n**വാഴച്ചുണ്ട്**\nപഴയ തലമുറയ്ക്ക് പ്രിയങ്കരമായിരുന്ന വാഴച്ചുണ്ട്, പുതിയ പച്ചക്കറികളുടെ വരവോടെ കുറച്ചുകാലം അവഗണിക്കപ്പെട്ടിരുന്നു	1	113	CROPS
മഴക്കാലം	CONDITION	dict	affects	തിന	CROP	dict	0.7	മഴക്കാലം തുടങ്ങുന്നതിന് മുൻപ് ഈ സ്പ്രേ നൽകുന്നത് തിക്കിൽപ്പെട്ട് കൊഴിയുന്നത് ഒഴികെയുള്ള കായ കൊഴിച്ചിൽ നിയന്ത്രിക്കാൻ സഹായിക്കും	1	118	DISEASES
മഴക്കാലം	CONDITION	dict	affects	ചക്ക	CROP	dict	0.7	മഴക്കാലം തുടങ്ങിയതോടെ കടച്ചക്കകൾ കൊഴിഞ്ഞുപോവുന്നത് സാധാരണമാണ്	1	122	CROPS
ഇതൊരു	DISEASE	ner	affects	ചക്ക	CROP	dict	0.7	ഇതൊരു ഫലമാണെങ്കിലും ഒരു പച്ചക്കറിയായാണ് കൂടുതലും ഉപയോഗിക്കപ്പെടുന്നത്	1	122	CROPS
ഇതൊരു	DISEASE	ner	affects	കപ്പ	CROP	dict	0.7	ഇതൊരു ഫലമാണെങ്കിലും ഒരു പച്ചക്കറിയായാണ് കൂടുതലും ഉപയോഗിക്കപ്പെടുന്നത്	1	122	CROPS
ഉഷ്ണമേഖലാ	CONDITION	dict	affects	തിന	CROP	dict	0.7	\n\nചില ഉഷ്ണമേഖലാ പ്രദേശങ്ങളിൽ ഇതിന്റെ മരക്കറ ത്വഗ്രോഗങ്ങൾ വരാതിരിക്കാൻ ശരീരത്തിൽ പുരട്ടാറുണ്ട്	7	122	CROPS
വാഴ	CROP	dict	affects	ഇലപ്പുള്ളി	DISEASE	dict	0.7	"""നേന്ത്രവാഴയിലെ സിഗറ്റോക്ക ഇലപ്പുള്ളി രോഗം വേനൽമഴ തുടങ്ങുമ്പോൾ തന്നെ വ്യാപകമാവുകയും മഴക്കാലം മുഴുവൻ നീണ്ടുനിൽക്കുകയും ചെയ്യും"	1	125	DISEASES
'	DISEASE	ner	affects	കപ്പ	CROP	dict	0.7	'അമേരിക്കൻ ഇനം' എന്ന് വിളിക്കപ്പെട്ടിരുന്ന ജേഴ്സികൾ സൗന്ദര്യത്തേക്കാളുപരി ഉത്പാദനത്തിന്റെ പേരിലാണ് ശ്രദ്ധിക്കപ്പെട്ടത്	2	146	LIVESTOCK
'	DISEASE	ner	affects	തിന	CROP	dict	0.7	'അമേരിക്കൻ ഇനം' എന്ന് വിളിക്കപ്പെട്ടിരുന്ന ജേഴ്സികൾ സൗന്ദര്യത്തേക്കാളുപരി ഉത്പാദനത്തിന്റെ പേരിലാണ് ശ്രദ്ധിക്കപ്പെട്ടത്	3	146	LIVESTOCK
'	DISEASE	ner	affects	പേര	CROP	dict	0.7	'അമേരിക്കൻ ഇനം' എന്ന് വിളിക്കപ്പെട്ടിരുന്ന ജേഴ്സികൾ സൗന്ദര്യത്തേക്കാളുപരി ഉത്പാദനത്തിന്റെ പേരിലാണ് ശ്രദ്ധിക്കപ്പെട്ടത്	1	146	LIVESTOCK
അവയുടെ സന്തതികൾക്ക്	DISEASE	ner	affects	തിന	CROP	dict	0.7	അവയുടെ സന്തതികൾക്ക് ശാരീരികഘടനയിൽ സ്വീകാര്യത ലഭിക്കുക മാത്രമല്ല, ഉത്പാദനം മെച്ചപ്പെടുത്തുന്നതിനായി അവയെ പ്രയോജനപ്പെടുത്തുകയും ചെയ്തിട്ടുണ്ട്	1	146	LIVESTOCK
അവയുടെ	DISEASE	ner	affects	തിന	CROP	dict	0.7	അവയുടെ പൂഞ്ഞയുടെയും തോളുകളുടെയും ഭാഗത്ത് നല്ല പേശീബലമുണ്ടായിരിക്കും, പശുക്കളെ അപേക്ഷിച്ച് ഇവയുടെ ശരീരത്തിന് പൊതുവേ ഒതുക്കം കുറവായിരിക്കും	1	146	LIVESTOCK
സൂര്യപ്രകാശം	CONDITION	dict	affects	സ്ട്രോബറി	CROP	dict	0.7	\n\nസൂര്യപ്രകാശം അത്യാവശ്യമാണെങ്കിലും, കഠിനമായ നേരിട്ടുള്ള വെയിൽ സ്ട്രോബറിക്ക് നല്ലതല്ല	1	154	CROPS
ഒച്ചുകൾ	PEST	dict	affects	സ്ട്രോബറി	CROP	dict	0.7	ഒച്ചുകൾ സ്ട്രോബറിക്ക് ഒരു പ്രധാന ഭീഷണിയാണ്, അതിനാൽ കേടായ ഇലകൾ അപ്പപ്പോൾ നീക്കം ചെയ്യണം	1	154	CROPS
ഒച്ചുകൾ	PEST	dict	affects	തിന	CROP	dict	0.7	ഒച്ചുകൾ സ്ട്രോബറിക്ക് ഒരു പ്രധാന ഭീഷണിയാണ്, അതിനാൽ കേടായ ഇലകൾ അപ്പപ്പോൾ നീക്കം ചെയ്യണം	2	154	CROPS
നീർവാർച്ച	CONDITION	dict	affects	തിന	CROP	dict	0.7	നല്ല നീർവാർച്ചയുള്ള മണ്ണാണ് ഇതിന് ആവശ്യം, പി	5	170	CROPS
മഞ്ഞളിപ്പ്	DISEASE	dict	affects	വെണ്ടയ്ക്ക	CROP	dict	0.7	മഞ്ഞളിപ്പ് രോഗം പരത്തുന്ന വെള്ളീച്ചകളുടെ സാന്നിധ്യം ഈ സമയത്ത് കുറവായതുകൊണ്ട് വെണ്ടയ്ക്ക് മികച്ച വിളവ് ലഭിക്കും	1	186	ENVIRONMENTAL_FACTORS
വെള്ളീച്ച	PEST	dict	affects	വെണ്ടയ്ക്ക	CROP	dict	0.7	മഞ്ഞളിപ്പ് രോഗം പരത്തുന്ന വെള്ളീച്ചകളുടെ സാന്നിധ്യം ഈ സമയത്ത് കുറവായതുകൊണ്ട് വെണ്ടയ്ക്ക് മികച്ച വിളവ് ലഭിക്കും	1	186	ENVIRONMENTAL_FACTORS
പണ്ടുകാലം	CONDITION	regex	affects	കാന്താരി	CROP	dict	0.7	കീടങ്ങളെ തുരത്താൻ പണ്ടുകാലം മുതൽ കർഷകർ കാന്താരിമുളക് ചേർത്ത ലായനി ഉപയോഗിക്കാറുണ്ട്	1	189	CROPS
പണ്ടുകാലം	CONDITION	regex	affects	മുളക്	CROP	dict	0.7	കീടങ്ങളെ തുരത്താൻ പണ്ടുകാലം മുതൽ കർഷകർ കാന്താരിമുളക് ചേർത്ത ലായനി ഉപയോഗിക്കാറുണ്ട്	1	189	CROPS
വഴുതന	CROP	dict	affects	അകലം ആവശ്യമാണ്	PEST	ner	0.7	വഴുതന, വെണ്ട എന്നിവയ്ക്ക് മൂന്ന്-നാല് അടി അകലം ആവശ്യമാണ്	1	196	AGRI_PRACTICES
സൂര്യപ്രകാശം	CONDITION	dict	affects	തിന	CROP	dict	0.7	സൂര്യപ്രകാശം ലഭിക്കുന്ന സ്ഥലത്ത്, വെള്ളം കെട്ടിനിൽക്കാത്ത വിധത്തിൽ വാരങ്ങളെടുത്ത് ആവശ്യത്തിന് അടിവളം ചേർത്ത് തൈകൾ 30 സെ	3	197	CROPS
വഴുതന	CROP	dict	affects	വാട്ടരോഗം	DISEASE	dict	0.7	"""തക്കാളി, വഴുതന, മുളക് തുടങ്ങിയ വിളകളിൽ സാധാരണയായി കാണുന്ന ബാക്ടീരിയൽ വാട്ടരോഗം തടയാൻ ചില മാർഗ്ഗങ്ങളുണ്ട്"	1	199	DISEASES
മുളക്	CROP	dict	affects	വാട്ടരോഗം	DISEASE	dict	0.7	"""തക്കാളി, വഴുതന, മുളക് തുടങ്ങിയ വിളകളിൽ സാധാരണയായി കാണുന്ന ബാക്ടീരിയൽ വാട്ടരോഗം തടയാൻ ചില മാർഗ്ഗങ്ങളുണ്ട്"	1	199	DISEASES
ഗ്രോബാഗുകളിലും ചെറുകിട	DISEASE	ner	affects	പയർ	CROP	dict	0.7	ഗ്രോബാഗുകളിലും ചെറുകിട തടങ്ങളിലും മണ്ണിൽ കൂനകൂട്ടിയും പയർ കൃഷി ചെയ്യാം	1	205	CROPS
ചീര	CROP	dict	affects	ഇലപ്പുള്ളി	DISEASE	dict	0.7	പച്ച ചീരയ്ക്ക് ഇലപ്പുള്ളി രോഗത്തെ പ്രതിരോധിക്കാനുള്ള കഴിവുണ്ട്	1	211	DISEASES
റൈസോക്ടോണിയ സോളാനി എന്ന കു	DISEASE	regex	affects	തിന	CROP	dict	0.7	\n\nറൈസോക്ടോണിയ സോളാനി എന്ന കുമിളാണ് ഇലപ്പുള്ളി രോഗത്തിന് കാരണം	1	211	DISEASES
ഇലപ്പുള്ളി	DISEASE	dict	affects	തിന	CROP	dict	0.7	\n\nറൈസോക്ടോണിയ സോളാനി എന്ന കുമിളാണ് ഇലപ്പുള്ളി രോഗത്തിന് കാരണം	1	211	DISEASES
ആവണക്കെണ്ണ	CROP	dict	affects	വെള്ളീച്ച	PEST	dict	0.7	**കീടരോഗ നിയന്ത്രണം**: വള്ളി വീശിത്തുടങ്ങുമ്പോൾ മുതൽ ആഴ്ചയിലൊരിക്കൽ വേപ്പെണ്ണ-ആവണക്കെണ്ണ-വെളുത്തുള്ളി മിശ്രിതം സ്പ്രേ ചെയ്യുന്നത് പച്ചത്തുള്ളൻ, വെള്ളീച്ചകൾ തുടങ്ങിയ കീടങ്ങളിൽ നിന്ന് ചെടിയെ സംരക്ഷിക്കാ	1	212	CROPS
തിന	CROP	dict	affects	സൂര്യമുഖി'	PEST	ner	0.7	ഇതിന് പുറമെ ഒരു കിലോയിൽ താഴെ മാത്രം തൂക്കം വരുന്ന 'അർക്ക സൂര്യമുഖി' (ബാംഗ്ലൂർ മത്തൻ) എന്ന ഇനവും പ്രചാരത്തിലുണ്ട്	1	214	CROPS
സൂര്യപ്രകാശം	CONDITION	dict	affects	ചക്ക	CROP	dict	0.7	നല്ല സൂര്യപ്രകാശം ലഭിക്കുന്നതിനാൽ ടെറസിലെ പച്ചക്കറികൾക്ക് മികച്ച വിളവ് ലഭിക്കും	1	219	AGRI_PRACTICES
ചക്ക	CROP	dict	affects	വെള്ളീച്ച	PEST	dict	0.7	"""വേനൽക്കാലത്ത് പച്ചക്കറികളിൽ സാധാരണയായി കാണുന്ന വെള്ളീച്ച, മൈറ്റുകൾ എന്നിവ മൂലമുണ്ടാകുന്ന മഞ്ഞളിപ്പും ഇലചുരുളലും തടയാൻ വെളുത്തുള്ളി-വേപ്പെണ്ണ മിശ്രിതമോ വേപ്പിൻകുരുസത്തോ രണ്ടാഴ്ചയിലൊരിക്കൽ ചെടികളിൽ തളി"	1	237	AGRI_PRACTICES
തിന	CROP	dict	affects	ഒച്ചുകൾ	PEST	dict	0.7	\n\nമണ്ണ് കിളച്ചിടുക: കിളച്ചിട്ട മണ്ണിൽ ഒച്ചുകൾക്ക് സുഗമമായി സഞ്ചരിക്കാൻ സാധിക്കാത്തതിനാൽ, കിളച്ച മണ്ണിൽ ഒച്ചുകൾ വളരെ കുറവായിരിക്കും	1	240	DISEASES
ഫ്യൂസേറിയം	DISEASE	dict	affects	തിന	CROP	dict	0.7	\n\n**ഫ്യൂസേറിയം വാട്ടം**\nഇലകളിൽ ജലാംശം നഷ്ടപ്പെട്ട് ചെടി പൂർണമായി നശിക്കുന്നതാണ് ഇതിന്റെ രോഗലക്ഷണം	1	245	DISEASES
നീർവാർച്ച	CONDITION	dict	affects	പരുത്തി	CROP	dict	0.7	നീർവാർച്ച കുറവുള്ള കറുത്ത പരുത്തി മണ്ണ് ഒഴികെയുള്ള എക്കൽ മണ്ണ് മുതൽ ലാറ്ററിറ്റിക് മണ്ണ് വരെ ഇത് വളർത്താം	1	253	CROPS
തിന	CROP	dict	affects	ഗ്രാം	DISEASE	ner	0.7	ഇതിന്റെ പഴങ്ങൾ വലുതാണ്, ശരാശരി 350-400 ഗ്രാം ഭാരം	1	257	CROPS
